chars_min,chars_max_exclusive,char_range_label,post_count,min_likes,median_likes,max_likes,window_start_utc,window_end_utc,notes
0,25,0-25,44,0,1.0,195,2026-05-12T00:00:00Z,2026-07-11,"excludes pure retweets; char length of API text (incl. t.co URLs); buckets [start,start+25)"
25,50,25-50,87,0,1,60,2026-05-12T00:00:00Z,2026-07-11,"excludes pure retweets; char length of API text (incl. t.co URLs); buckets [start,start+25)"
50,75,50-75,69,0,0,98,2026-05-12T00:00:00Z,2026-07-11,"excludes pure retweets; char length of API text (incl. t.co URLs); buckets [start,start+25)"
75,100,75-100,51,0,1,61,2026-05-12T00:00:00Z,2026-07-11,"excludes pure retweets; char length of API text (incl. t.co URLs); buckets [start,start+25)"
100,125,100-125,33,0,1,32,2026-05-12T00:00:00Z,2026-07-11,"excludes pure retweets; char length of API text (incl. t.co URLs); buckets [start,start+25)"
125,150,125-150,31,0,1,73,2026-05-12T00:00:00Z,2026-07-11,"excludes pure retweets; char length of API text (incl. t.co URLs); buckets [start,start+25)"
150,175,150-175,13,0,1,54,2026-05-12T00:00:00Z,2026-07-11,"excludes pure retweets; char length of API text (incl. t.co URLs); buckets [start,start+25)"
175,200,175-200,12,0,5.0,58,2026-05-12T00:00:00Z,2026-07-11,"excludes pure retweets; char length of API text (incl. t.co URLs); buckets [start,start+25)"
200,225,200-225,17,0,4,456,2026-05-12T00:00:00Z,2026-07-11,"excludes pure retweets; char length of API text (incl. t.co URLs); buckets [start,start+25)"
225,250,225-250,6,0,0.5,68,2026-05-12T00:00:00Z,2026-07-11,"excludes pure retweets; char length of API text (incl. t.co URLs); buckets [start,start+25)"
250,275,250-275,4,0,13.5,23,2026-05-12T00:00:00Z,2026-07-11,"excludes pure retweets; char length of API text (incl. t.co URLs); buckets [start,start+25)"
275,300,275-300,19,0,4,385,2026-05-12T00:00:00Z,2026-07-11,"excludes pure retweets; char length of API text (incl. t.co URLs); buckets [start,start+25)"
300,325,300-325,48,1,46.5,470,2026-05-12T00:00:00Z,2026-07-11,"excludes pure retweets; char length of API text (incl. t.co URLs); buckets [start,start+25)"
325,350,325-350,1,42,42,42,2026-05-12T00:00:00Z,2026-07-11,"excludes pure retweets; char length of API text (incl. t.co URLs); buckets [start,start+25)"
