goos: linux
goarch: amd64
pkg: jsonbench
cpu: INTEL(R) XEON(R) GOLD 6548N
BenchmarkUnmarshalAny/legacy/twitter         	     200	   5951663 ns/op	 106.11 MB/s	 2076680 B/op	   32125 allocs/op
BenchmarkUnmarshalAny/legacy/twitter         	     204	   5917631 ns/op	 106.72 MB/s	 2076680 B/op	   32125 allocs/op
BenchmarkUnmarshalAny/legacy/twitter         	     204	   5819286 ns/op	 108.52 MB/s	 2076680 B/op	   32125 allocs/op
BenchmarkUnmarshalAny/legacy/twitter         	     204	   5862558 ns/op	 107.72 MB/s	 2076680 B/op	   32125 allocs/op
BenchmarkUnmarshalAny/legacy/twitter         	     204	   6161926 ns/op	 102.49 MB/s	 2076680 B/op	   32125 allocs/op
BenchmarkUnmarshalAny/legacy/twitter         	     159	   6762666 ns/op	  93.38 MB/s	 2076680 B/op	   32125 allocs/op
BenchmarkUnmarshalAny/legacy/twitter         	     213	   5663036 ns/op	 111.52 MB/s	 2076680 B/op	   32125 allocs/op
BenchmarkUnmarshalAny/legacy/twitter         	     205	   5695069 ns/op	 110.89 MB/s	 2076680 B/op	   32125 allocs/op
BenchmarkUnmarshalAny/legacy/canada          	      38	  30233188 ns/op	  74.46 MB/s	10583508 B/op	  392515 allocs/op
BenchmarkUnmarshalAny/legacy/canada          	      42	  29941401 ns/op	  75.18 MB/s	10583509 B/op	  392515 allocs/op
BenchmarkUnmarshalAny/legacy/canada          	      42	  32617114 ns/op	  69.01 MB/s	10583508 B/op	  392515 allocs/op
BenchmarkUnmarshalAny/legacy/canada          	      38	  30718290 ns/op	  73.28 MB/s	10583508 B/op	  392515 allocs/op
BenchmarkUnmarshalAny/legacy/canada          	      42	  30651574 ns/op	  73.44 MB/s	10583508 B/op	  392515 allocs/op
BenchmarkUnmarshalAny/legacy/canada          	      40	  30671946 ns/op	  73.39 MB/s	10583507 B/op	  392515 allocs/op
BenchmarkUnmarshalAny/legacy/canada          	      40	  31037246 ns/op	  72.53 MB/s	10583508 B/op	  392515 allocs/op
BenchmarkUnmarshalAny/legacy/canada          	      40	  30731548 ns/op	  73.25 MB/s	10583508 B/op	  392515 allocs/op
BenchmarkUnmarshalAny/legacy/citm_catalog    	      92	  17009816 ns/op	 101.54 MB/s	 5130746 B/op	   95865 allocs/op
BenchmarkUnmarshalAny/legacy/citm_catalog    	     100	  14224314 ns/op	 121.43 MB/s	 5130745 B/op	   95865 allocs/op
BenchmarkUnmarshalAny/legacy/citm_catalog    	      93	  14362705 ns/op	 120.26 MB/s	 5130746 B/op	   95865 allocs/op
BenchmarkUnmarshalAny/legacy/citm_catalog    	     100	  14300922 ns/op	 120.78 MB/s	 5130746 B/op	   95865 allocs/op
BenchmarkUnmarshalAny/legacy/citm_catalog    	     100	  14410680 ns/op	 119.86 MB/s	 5130746 B/op	   95865 allocs/op
BenchmarkUnmarshalAny/legacy/citm_catalog    	      99	  15291358 ns/op	 112.95 MB/s	 5130745 B/op	   95865 allocs/op
BenchmarkUnmarshalAny/legacy/citm_catalog    	     100	  14380318 ns/op	 120.11 MB/s	 5130745 B/op	   95865 allocs/op
BenchmarkUnmarshalAny/legacy/citm_catalog    	     100	  14454904 ns/op	 119.49 MB/s	 5130745 B/op	   95865 allocs/op
BenchmarkMarshalAny/legacy/twitter           	     319	   3670526 ns/op	 128.30 MB/s	 1488029 B/op	   27956 allocs/op
BenchmarkMarshalAny/legacy/twitter           	     332	   3652112 ns/op	 128.95 MB/s	 1488029 B/op	   27956 allocs/op
BenchmarkMarshalAny/legacy/twitter           	     234	   5351618 ns/op	  88.00 MB/s	 1488028 B/op	   27956 allocs/op
BenchmarkMarshalAny/legacy/twitter           	     318	   3778776 ns/op	 124.63 MB/s	 1488029 B/op	   27956 allocs/op
BenchmarkMarshalAny/legacy/twitter           	     315	   3806018 ns/op	 123.74 MB/s	 1488030 B/op	   27956 allocs/op
BenchmarkMarshalAny/legacy/twitter           	     312	   3766649 ns/op	 125.03 MB/s	 1488030 B/op	   27956 allocs/op
BenchmarkMarshalAny/legacy/twitter           	     304	   3815255 ns/op	 123.44 MB/s	 1488029 B/op	   27956 allocs/op
BenchmarkMarshalAny/legacy/twitter           	     315	   3773472 ns/op	 124.80 MB/s	 1488030 B/op	   27956 allocs/op
BenchmarkMarshalAny/legacy/canada            	     100	  14405127 ns/op	 145.10 MB/s	 2097784 B/op	      22 allocs/op
