goos: linux
goarch: amd64
pkg: jsonbench
cpu: INTEL(R) XEON(R) GOLD 6548N
BenchmarkUnmarshalAny/json/twitter         	     196	   6001843 ns/op	 105.22 MB/s	 2066400 B/op	   38276 allocs/op
BenchmarkUnmarshalAny/json/twitter         	     198	   6034323 ns/op	 104.65 MB/s	 2066362 B/op	   38276 allocs/op
BenchmarkUnmarshalAny/json/twitter         	     198	   6055314 ns/op	 104.29 MB/s	 2066363 B/op	   38276 allocs/op
BenchmarkUnmarshalAny/json/twitter         	     199	   6070059 ns/op	 104.04 MB/s	 2066363 B/op	   38276 allocs/op
BenchmarkUnmarshalAny/json/twitter         	     199	   6057628 ns/op	 104.25 MB/s	 2066363 B/op	   38276 allocs/op
BenchmarkUnmarshalAny/json/twitter         	     194	   6075407 ns/op	 103.95 MB/s	 2066363 B/op	   38276 allocs/op
BenchmarkUnmarshalAny/json/twitter         	     194	   6074930 ns/op	 103.95 MB/s	 2066363 B/op	   38276 allocs/op
BenchmarkUnmarshalAny/json/twitter         	     194	   6071527 ns/op	 104.01 MB/s	 2066362 B/op	   38276 allocs/op
BenchmarkUnmarshalAny/json/canada          	      26	  43390301 ns/op	  51.88 MB/s	10172604 B/op	  448562 allocs/op
BenchmarkUnmarshalAny/json/canada          	      27	  42567712 ns/op	  52.88 MB/s	10172599 B/op	  448562 allocs/op
BenchmarkUnmarshalAny/json/canada          	      28	  42648944 ns/op	  52.78 MB/s	10172601 B/op	  448562 allocs/op
BenchmarkUnmarshalAny/json/canada          	      28	  43056876 ns/op	  52.28 MB/s	10172607 B/op	  448562 allocs/op
BenchmarkUnmarshalAny/json/canada          	      27	  43091428 ns/op	  52.24 MB/s	10172598 B/op	  448562 allocs/op
BenchmarkUnmarshalAny/json/canada          	      28	  42831086 ns/op	  52.56 MB/s	10172605 B/op	  448562 allocs/op
BenchmarkUnmarshalAny/json/canada          	      28	  43233955 ns/op	  52.07 MB/s	10172601 B/op	  448562 allocs/op
BenchmarkUnmarshalAny/json/canada          	      30	  42521088 ns/op	  52.94 MB/s	10172604 B/op	  448562 allocs/op
BenchmarkUnmarshalAny/json/citm_catalog    	     100	  13828555 ns/op	 124.90 MB/s	 5545990 B/op	  114242 allocs/op
BenchmarkUnmarshalAny/json/citm_catalog    	     100	  13956739 ns/op	 123.75 MB/s	 5545976 B/op	  114241 allocs/op
BenchmarkUnmarshalAny/json/citm_catalog    	      92	  14058098 ns/op	 122.86 MB/s	 5545976 B/op	  114241 allocs/op
BenchmarkUnmarshalAny/json/citm_catalog    	      92	  13970526 ns/op	 123.63 MB/s	 5545976 B/op	  114241 allocs/op
BenchmarkUnmarshalAny/json/citm_catalog    	      92	  13978112 ns/op	 123.56 MB/s	 5545976 B/op	  114241 allocs/op
BenchmarkUnmarshalAny/json/citm_catalog    	      92	  13987305 ns/op	 123.48 MB/s	 5545976 B/op	  114241 allocs/op
BenchmarkUnmarshalAny/json/citm_catalog    	     100	  14033308 ns/op	 123.08 MB/s	 5545976 B/op	  114241 allocs/op
BenchmarkUnmarshalAny/json/citm_catalog    	     100	  13974780 ns/op	 123.59 MB/s	 5545976 B/op	  114241 allocs/op
BenchmarkUnmarshalAny/jsonv2/twitter       	     358	   3324891 ns/op	 189.94 MB/s	 1998683 B/op	   28100 allocs/op
BenchmarkUnmarshalAny/jsonv2/twitter       	     358	   3317745 ns/op	 190.34 MB/s	 1998679 B/op	   28100 allocs/op
BenchmarkUnmarshalAny/jsonv2/twitter       	     361	   3357640 ns/op	 188.08 MB/s	 1998679 B/op	   28100 allocs/op
BenchmarkUnmarshalAny/jsonv2/twitter       	     362	   3344094 ns/op	 188.84 MB/s	 1998679 B/op	   28100 allocs/op
BenchmarkUnmarshalAny/jsonv2/twitter       	     362	   3321368 ns/op	 190.14 MB/s	 1998679 B/op	   28100 allocs/op
BenchmarkUnmarshalAny/jsonv2/twitter       	     360	   3325521 ns/op	 189.90 MB/s	 1998679 B/op	   28100 allocs/op
BenchmarkUnmarshalAny/jsonv2/twitter       	     348	   3354754 ns/op	 188.24 MB/s	 1998679 B/op	   28100 allocs/op
BenchmarkUnmarshalAny/jsonv2/twitter       	     362	   3332857 ns/op	 189.48 MB/s	 1998679 B/op	   28100 allocs/op
BenchmarkUnmarshalAny/jsonv2/canada        	      55	  20599684 ns/op	 109.28 MB/s	 7938323 B/op	  281381 allocs/op
BenchmarkUnmarshalAny/jsonv2/canada        	      67	  20761216 ns/op	 108.43 MB/s	 7938320 B/op	  281381 allocs/op
BenchmarkUnmarshalAny/jsonv2/canada        	      70	  20753218 ns/op	 108.47 MB/s	 7938320 B/op	  281381 allocs/op
BenchmarkUnmarshalAny/jsonv2/canada        	      67	  20513452 ns/op	 109.74 MB/s	 7938321 B/op	  281381 allocs/op
BenchmarkUnmarshalAny/jsonv2/canada        	      67	  20609172 ns/op	 109.23 MB/s	 7938323 B/op	  281381 allocs/op
BenchmarkUnmarshalAny/jsonv2/canada        	      67	  20744342 ns/op	 108.51 MB/s	 7938320 B/op	  281381 allocs/op
BenchmarkUnmarshalAny/jsonv2/canada        	      66	  20610326 ns/op	 109.22 MB/s	 7938322 B/op	  281381 allocs/op
BenchmarkUnmarshalAny/jsonv2/canada        	      67	  20714116 ns/op	 108.67 MB/s	 7938321 B/op	  281381 allocs/op
BenchmarkUnmarshalAny/jsonv2/citm_catalog  	     170	   6947754 ns/op	 248.60 MB/s	 4965332 B/op	   81006 allocs/op
BenchmarkUnmarshalAny/jsonv2/citm_catalog  	     171	   6945946 ns/op	 248.66 MB/s	 4965319 B/op	   81005 allocs/op
BenchmarkUnmarshalAny/jsonv2/citm_catalog  	     172	   7012980 ns/op	 246.29 MB/s	 4965320 B/op	   81005 allocs/op
BenchmarkUnmarshalAny/jsonv2/citm_catalog  	     172	   6905776 ns/op	 250.11 MB/s	 4965319 B/op	   81005 allocs/op
BenchmarkUnmarshalAny/jsonv2/citm_catalog  	     174	   6977094 ns/op	 247.55 MB/s	 4965319 B/op	   81005 allocs/op
BenchmarkUnmarshalAny/jsonv2/citm_catalog  	     174	   6921669 ns/op	 249.54 MB/s	 4965319 B/op	   81005 allocs/op
BenchmarkUnmarshalAny/jsonv2/citm_catalog  	     174	   6859738 ns/op	 251.79 MB/s	 4965320 B/op	   81005 allocs/op
BenchmarkUnmarshalAny/jsonv2/citm_catalog  	     170	   6960544 ns/op	 248.14 MB/s	 4965320 B/op	   81005 allocs/op
BenchmarkMarshalAny/json/twitter           	     499	   2308566 ns/op	 204.00 MB/s	  475287 B/op	       9 allocs/op
BenchmarkMarshalAny/json/twitter           	     554	   2196878 ns/op	 214.37 MB/s	  475285 B/op	       9 allocs/op
BenchmarkMarshalAny/json/twitter           	     550	   2201956 ns/op	 213.88 MB/s	  475285 B/op	       9 allocs/op
BenchmarkMarshalAny/json/twitter           	     548	   2185359 ns/op	 215.50 MB/s	  475285 B/op	       9 allocs/op
BenchmarkMarshalAny/json/twitter           	     523	   2202139 ns/op	 213.86 MB/s	  475285 B/op	       9 allocs/op
BenchmarkMarshalAny/json/twitter           	     520	   2240225 ns/op	 210.22 MB/s	  475287 B/op	       9 allocs/op
BenchmarkMarshalAny/json/twitter           	     547	   2229689 ns/op	 211.22 MB/s	  475285 B/op	       9 allocs/op
BenchmarkMarshalAny/json/twitter           	     540	   2209923 ns/op	 213.11 MB/s	  475285 B/op	       9 allocs/op
BenchmarkMarshalAny/json/canada            	     135	   8778963 ns/op	 238.10 MB/s	 2097336 B/op	       9 allocs/op
BenchmarkMarshalAny/json/canada            	     135	   8757290 ns/op	 238.69 MB/s	 2097335 B/op	       9 allocs/op
BenchmarkMarshalAny/json/canada            	     136	   8778463 ns/op	 238.11 MB/s	 2097335 B/op	       9 allocs/op
BenchmarkMarshalAny/json/canada            	     100	  10317225 ns/op	 202.60 MB/s	 2097339 B/op	       9 allocs/op
BenchmarkMarshalAny/json/canada            	     140	   8500188 ns/op	 245.90 MB/s	 2097336 B/op	       9 allocs/op
BenchmarkMarshalAny/json/canada            	     138	   8664765 ns/op	 241.23 MB/s	 2097334 B/op	       9 allocs/op
BenchmarkMarshalAny/json/canada            	     136	   8700776 ns/op	 240.24 MB/s	 2097334 B/op	       9 allocs/op
BenchmarkMarshalAny/json/canada            	     138	   8655512 ns/op	 241.49 MB/s	 2097335 B/op	       9 allocs/op
BenchmarkMarshalAny/json/citm_catalog      	     344	   3283081 ns/op	 152.39 MB/s	  509819 B/op	      27 allocs/op
BenchmarkMarshalAny/json/citm_catalog      	     357	   3257784 ns/op	 153.57 MB/s	  508292 B/op	      27 allocs/op
BenchmarkMarshalAny/json/citm_catalog      	     358	   3255220 ns/op	 153.69 MB/s	  508264 B/op	      27 allocs/op
