goos: darwin
goarch: arm64
pkg: jsonbench
cpu: Apple M4 Max
BenchmarkUnmarshalAny/legacy/twitter         	     330	   3631771 ns/op	 173.89 MB/s	 2076680 B/op	   32125 allocs/op
BenchmarkUnmarshalAny/legacy/twitter         	     327	   3691837 ns/op	 171.06 MB/s	 2076680 B/op	   32125 allocs/op
BenchmarkUnmarshalAny/legacy/twitter         	     319	   3653971 ns/op	 172.83 MB/s	 2076680 B/op	   32125 allocs/op
BenchmarkUnmarshalAny/legacy/twitter         	     322	   3666482 ns/op	 172.24 MB/s	 2076680 B/op	   32125 allocs/op
BenchmarkUnmarshalAny/legacy/twitter         	     318	   3700548 ns/op	 170.65 MB/s	 2076680 B/op	   32125 allocs/op
BenchmarkUnmarshalAny/legacy/twitter         	     316	   3710844 ns/op	 170.18 MB/s	 2076680 B/op	   32125 allocs/op
BenchmarkUnmarshalAny/legacy/twitter         	     332	   3762337 ns/op	 167.85 MB/s	 2076680 B/op	   32125 allocs/op
BenchmarkUnmarshalAny/legacy/twitter         	     328	   3639283 ns/op	 173.53 MB/s	 2076680 B/op	   32125 allocs/op
BenchmarkUnmarshalAny/legacy/canada          	      68	  17834781 ns/op	 126.22 MB/s	10583509 B/op	  392515 allocs/op
BenchmarkUnmarshalAny/legacy/canada          	      72	  17703883 ns/op	 127.15 MB/s	10583508 B/op	  392515 allocs/op
BenchmarkUnmarshalAny/legacy/canada          	      74	  17430886 ns/op	 129.14 MB/s	10583508 B/op	  392515 allocs/op
BenchmarkUnmarshalAny/legacy/canada          	      74	  17857966 ns/op	 126.05 MB/s	10583507 B/op	  392515 allocs/op
BenchmarkUnmarshalAny/legacy/canada          	      75	  17498888 ns/op	 128.64 MB/s	10583508 B/op	  392515 allocs/op
BenchmarkUnmarshalAny/legacy/canada          	      73	  17206567 ns/op	 130.83 MB/s	10583508 B/op	  392515 allocs/op
BenchmarkUnmarshalAny/legacy/canada          	      76	  17568711 ns/op	 128.13 MB/s	10583508 B/op	  392515 allocs/op
BenchmarkUnmarshalAny/legacy/canada          	      75	  17911785 ns/op	 125.67 MB/s	10583510 B/op	  392515 allocs/op
BenchmarkUnmarshalAny/legacy/citm_catalog    	     128	   9307109 ns/op	 185.58 MB/s	 5130745 B/op	   95865 allocs/op
BenchmarkUnmarshalAny/legacy/citm_catalog    	     127	   9384515 ns/op	 184.05 MB/s	 5130745 B/op	   95865 allocs/op
BenchmarkUnmarshalAny/legacy/citm_catalog    	     128	   9256695 ns/op	 186.59 MB/s	 5130745 B/op	   95865 allocs/op
BenchmarkUnmarshalAny/legacy/citm_catalog    	     128	   9303598 ns/op	 185.65 MB/s	 5130744 B/op	   95865 allocs/op
BenchmarkUnmarshalAny/legacy/citm_catalog    	     127	   9338054 ns/op	 184.96 MB/s	 5130745 B/op	   95865 allocs/op
BenchmarkUnmarshalAny/legacy/citm_catalog    	     128	   9272521 ns/op	 186.27 MB/s	 5130745 B/op	   95865 allocs/op
BenchmarkUnmarshalAny/legacy/citm_catalog    	     130	   9205655 ns/op	 187.62 MB/s	 5130745 B/op	   95865 allocs/op
BenchmarkUnmarshalAny/legacy/citm_catalog    	     133	   9015238 ns/op	 191.59 MB/s	 5130745 B/op	   95865 allocs/op
BenchmarkMarshalAny/legacy/twitter           	     522	   2377328 ns/op	 198.10 MB/s	 1488025 B/op	   27956 allocs/op
BenchmarkMarshalAny/legacy/twitter           	     506	   2364742 ns/op	 199.15 MB/s	 1488024 B/op	   27956 allocs/op
BenchmarkMarshalAny/legacy/twitter           	     499	   2387633 ns/op	 197.24 MB/s	 1488024 B/op	   27956 allocs/op
BenchmarkMarshalAny/legacy/twitter           	     506	   2377501 ns/op	 198.08 MB/s	 1488025 B/op	   27956 allocs/op
BenchmarkMarshalAny/legacy/twitter           	     505	   2373014 ns/op	 198.46 MB/s	 1488024 B/op	   27956 allocs/op
