goos: darwin
goarch: arm64
pkg: jsonbench
cpu: Apple M4 Max
BenchmarkUnmarshalAny/json/twitter         	     388	   3156495 ns/op	 200.07 MB/s	 2066378 B/op	   38276 allocs/op
BenchmarkUnmarshalAny/json/twitter         	     391	   3111102 ns/op	 202.99 MB/s	 2066361 B/op	   38276 allocs/op
BenchmarkUnmarshalAny/json/twitter         	     391	   3083051 ns/op	 204.83 MB/s	 2066360 B/op	   38276 allocs/op
BenchmarkUnmarshalAny/json/twitter         	     381	   3155722 ns/op	 200.12 MB/s	 2066361 B/op	   38276 allocs/op
BenchmarkUnmarshalAny/json/twitter         	     388	   3089038 ns/op	 204.44 MB/s	 2066361 B/op	   38276 allocs/op
BenchmarkUnmarshalAny/json/twitter         	     391	   3126601 ns/op	 201.98 MB/s	 2066361 B/op	   38276 allocs/op
BenchmarkUnmarshalAny/json/twitter         	     391	   3098191 ns/op	 203.83 MB/s	 2066361 B/op	   38276 allocs/op
BenchmarkUnmarshalAny/json/twitter         	     379	   3114745 ns/op	 202.75 MB/s	 2066361 B/op	   38276 allocs/op
BenchmarkUnmarshalAny/json/canada          	      57	  21459972 ns/op	 104.90 MB/s	10172585 B/op	  448562 allocs/op
BenchmarkUnmarshalAny/json/canada          	      62	  21082390 ns/op	 106.77 MB/s	10172586 B/op	  448562 allocs/op
BenchmarkUnmarshalAny/json/canada          	      63	  21280659 ns/op	 105.78 MB/s	10172591 B/op	  448562 allocs/op
BenchmarkUnmarshalAny/json/canada          	      56	  21422127 ns/op	 105.08 MB/s	10172588 B/op	  448562 allocs/op
BenchmarkUnmarshalAny/json/canada          	      60	  21260654 ns/op	 105.88 MB/s	10172583 B/op	  448562 allocs/op
BenchmarkUnmarshalAny/json/canada          	      58	  21329197 ns/op	 105.54 MB/s	10172588 B/op	  448562 allocs/op
BenchmarkUnmarshalAny/json/canada          	      56	  21173641 ns/op	 106.31 MB/s	10172590 B/op	  448562 allocs/op
BenchmarkUnmarshalAny/json/canada          	      60	  21530926 ns/op	 104.55 MB/s	10172583 B/op	  448562 allocs/op
